LDN,Elev,GDP,Nt,Pop,Pre,Tem
-1,0.100392,0.0038016,0,0.0007013,0.630881,0.968147
1,0.228972,0.0127043,0,0.0005805,0.294974,0.797108
1,0.483871,0.0016436,0,0.0000413,0.41209,0.551381
1,0.228369,0.0020555,0,0.000202,0.669577,0.838056
1,0.299668,0.0021785,0,0.0005468,0.337089,0.762715
1,0.346397,0.0019646,0,0.0002204,0.457073,0.705525
0,0.13868,0.0026528,0,0.0016,0.449335,0.955251
1,0.298915,0.0030903,0,0.0004602,0.480212,0.876232
1,0.285197,0.0112084,0.0166667,0.000951,0.310773,0.784203
1,0.206361,0.0010295,0,0.0003956,0.437094,0.88985
1,0.244498,0.0014371,0,0.0000886,0.506582,0.858606
1,0.157522,0.0016512,0,0.0002794,0.522955,0.909191
1,0.284142,0.0160894,0.081746,0.0018747,0.330054,0.783143
1,0.297106,0.001393,0,0.0003301,0.324037,0.808552
1,0.301477,0.0021981,0,0.0009859,0.477715,0.82119
1,0.401568,0.002157,0,0.0000856,0.29469,0.668771
0,0.205758,0.0042666,0.0404762,0.0007944,0.282548,0.876652
1,0.412873,0.0017268,0,0.0001624,0.318099,0.642269
1,0.375641,0.0010082,0,0.0002408,0.356769,0.722936
1,0.33675,0.0076965,0.0111111,0.0005343,0.299057,0.747418
1,0.132349,0.0034004,0.0293651,0.002153,0.656335,0.929267
1,0.373681,0.0032143,0,0.000184,0.478752,0.724133
1,0.292885,0.0826744,0.718254,0.0112307,0.329031,0.772627
1,0.322731,0.0177486,0.11746,0.0018898,0.336494,0.750194
1,0.328007,0.0070074,0,0.0007109,0.374064,0.752823
1,0.126771,0.0009922,0,0.0001345,0.664687,0.948639
1,0.239524,0.0048379,0.0047619,0.0003348,0.374929,0.822513
1,0.350618,0.0031893,0,0.000154,0.308069,0.72613
1,0.22445,0.0023155,0,0.0002685,0.514402,0.895825
0,0.195659,0.0072995,0.371429,0.0293656,0.279883,0.903987
1,0.192041,0.0037458,0,0.0010115,0.243274,0.919627
1,0.271179,0.0033502,0,0.0008873,0.305893,0.775988
